,CATEGORY (i.e.ISCED description),COURSE TITLE,COURSE CODE2,R1 POINTS,R1 Random *,R2 POINTS,R2 Random*,EOS,EOS Random *,EOS Mid-point,LEVEL,HEI,Test/Interview #,avp,v,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
39,Business and administration,Digital Marketing,AL751,241,,,,241,,318,7,Athlone Institute of Technology,,,,,,,,,,,
40,Business and administration,Business,AL752,225,,,,225,,397,7,Athlone Institute of Technology,,,,,,,,,,,
41,Personal services,Hotel and Leisure Management,AL761,208,,,,208,,309,7,Athlone Institute of Technology,,,,,,,,,,,
42,Arts,Graphic Design (portfolio),AL763,781,,,,781,,858,7,Athlone Institute of Technology,#,,,,,,,,,,
43,Welfare,Early Years Care and Education,AL764,260,,,,260,,398,7,Athlone Institute of Technology,,,,,,,,,,,
44,Welfare,Applied Social Studies in Social Care,AL765,280,,,,280,,358,7,Athlone Institute of Technology,,,,,,,,,,,
45,Information and Communication Technologies (ICTs),Software Design with Virtual Reality and Gaming,AL801,303,,,,303,,367,8,Athlone Institute of Technology,,,,,,,,,,,
46,Information and Communication Technologies (ICTs),Software Design with Artificial Intelligence for Cloud Computing,AL802,332,,,,332,,382,8,Athlone Institute of Technology,,,,,,,,,,,
47,Information and Communication Technologies (ICTs),Software Design with Mobile Apps and Connected Devices,AL803,337,,,,337,,360,8,Athlone Institute of Technology,,,,,,,,,,,
48,Information and Communication Technologies (ICTs),Computer Engineering with Network Infrastructure,AL805,333,,,,333,,360,8,Athlone Institute of Technology,,,,,,,,,,,
49,Architecture and construction,Quantity Surveying,AL810,319,,,,326,,352,8,Athlone Institute of Technology,,,,,,,,,,,
50,Architecture and construction,Civil Engineering,AL811,320,,,,320,,432,8,Athlone Institute of Technology,,,,,,,,,,,
51,Manufacturing and processing,Mechanical and Polymer Engineering,AL820,308,,,,308,,379,8,Athlone Institute of Technology,,,,,,,,,,,
52,Health,General Nursing,AL830,442,,,,442,,463,8,Athlone Institute of Technology,,,,,,,,,,,
53,Health,Psychiatric Nursing,AL832,387,*,384,,384,,399,8,Athlone Institute of Technology,,,,,,,,,,,
54,Health,Nutrition and Health Science,AL836,334,,,,334,,379,8,Athlone Institute of Technology,,,,,,,,,,,
55,Personal services,Sports Science with Exercise Physiology,AL837,351,,,,351,,384,8,Athlone Institute of Technology,,,,,,,,,,,
56,Biological and related sciences,Biotechnology,AL838,307,,,,307,,356,8,Athlone Institute of Technology,,,,,,,,,,,
57,Biological and related sciences,Microbiology,AL839,325,,,,325,,393,8,Athlone Institute of Technology,,,,,,,,,,,
58,Physical sciences,Pharmaceutical Sciences,AL840,347,,,,347,,403,8,Athlone Institute of Technology,,,,,,,,,,,
59,Health,Athletic and Rehabilitation Therapy,AL841,430,,,,430,,465,8,Athlone Institute of Technology,,,,,,,,,,,
60,Biological and related sciences,Bioveterinary Science,AL842,313,,,,313,,383,8,Athlone Institute of Technology,,,,,,,,,,,
61,Health,Physical Activity and Health Science,AL843,306,,,,306,,326,8,Athlone Institute of Technology,,,,,,,,,,,
62,Business and administration,Business,AL850,309,,,,309,,377,8,Athlone Institute of Technology,,,,,,,,,,,
63,Law,Business and Law,AL851,295,,,,295,,351,8,Athlone Institute of Technology,,,,,,,,,,,
64,Business and administration,Accounting,AL852,309,,,,309,,422,8,Athlone Institute of Technology,,,,,,,,,,,
65,Personal services,Sport Management (with international placement),AL854,302,,299,,299,,338,8,Athlone Institute of Technology,,,,,,,,,,,
66,Personal services,Hospitality Management (with international placement),AL855,308,,,,308,,347,8,Athlone Institute of Technology,,,,,,,,,,,
67,Business and administration,Digital Marketing,AL857,304,,,,304,,332,8,Athlone Institute of Technology,,,,,,,,,,,
68,Welfare,Social Care Practice,AL860,300,,,,300,,348,8,Athlone Institute of Technology,,,,,,,,,,,
69,Arts,Animation and Illustration (portfolio),AL861,578,,,,578,,878,8,Athlone Institute of Technology,#,,,,,,,,,,
70,Arts,Graphic and Digital Design (portfolio),AL863,781,,,,781,,824,8,Athlone Institute of Technology,#,,,,,,,,,,
71,Welfare,Early Years Care and Education,AL864,307,,,,307,,346,8,Athlone Institute of Technology,,,,,,,,,,,
72,Social and behavioural sciences,Applied Psychology,AL870,418,,,,418,,444,8,Athlone Institute of Technology,,,,,,,,,,,
73,Education,"Education, Home Economics and Biology - with concurrent Teacher Ed",AS001,510,,,,518,,544,8,St. Angela`s College,,,,,,,,,,,
74,Education,"Education, Home Economics and Religious Ed - with concurrent Teacher Ed",AS002,441,*,434,*,434,*,466,8,St. Angela`s College,,,,,,,,,,,
75,Education,"Education, Home Economics and Irish - with concurrent Teacher Ed",AS003,440,*,440,,440,,484,8,St. Angela`s College,,,,,,,,,,,
76,Business and administration,"Nutrition, Food and Business Management",AS051,328,,317,,317,,398,8,St. Angela`s College,,,,,,,,,,,
77,Biological and related sciences,Home Economics,AS054,408,,398,,398,,429,8,St. Angela`s College,,,,,,,,,,,
78,Health,General Nursing,AS110,419,*,,,419,*,431,8,St. Angela`s College,,,,,,,,,,,
79,Health,Intellectual Disability Nursing,AS130,336,*,328,,317,,339,8,St. Angela`s College,,,,,,,,,,,
80,Welfare,Counselling Skills and Psychotherapy Studies,CI001,300,,,,300,,440,7,Irish College of Humanities & Applied Sciences,,,,,,,,,,,
81,Welfare,Counselling Skills and Addiction Studies,CI002,309,,,,309,,367,7,Irish College of Humanities & Applied Sciences,,,,,,,,,,,
82,Welfare,Counselling Skills and Youth Studies,CI005,306,,302,,302,,451,7,Irish College of Humanities & Applied Sciences,,,,,,,,,,,
83,Welfare,Counselling and Psychotherapy,CI110,310,,,,310,,392,8,Irish College of Humanities & Applied Sciences,,,,,,,,,,,
84,Welfare,Counselling and Addiction Studies,CI111,301,,,,301,,319,8,Irish College of Humanities & Applied Sciences,,,,,,,,,,,
85,Welfare,Counselling and Youth Studies,CI112,311,,,,311,,311,8,Irish College of Humanities & Applied Sciences,,,,,,,,,,,
86,Arts,Arts - 3 years,CK101,300,,,,300,,388,8,University College Cork (NUI),,,,,,,,,,,
87,Social and behavioural sciences,Social Science,CK102,412,,,,412,,451,8,University College Cork (NUI),,,,,,,,,,,
88,Arts,Arts with Music - 3 or 4 years (BMus or Chinese/European/Int`l Pathway),CK104,302,,,,302,,435,8,University College Cork (NUI),#,,,,,,,,,,
89,Arts,Film and Screen Media - 3 years or 4 years (International Pathway),CK105,368,,337,,319,,418,8,University College Cork (NUI),,,,,,,,,,,
90,Humanities (except languages),Geographical and Archaeological Sciences - 3 or 4 years (Int`l Pathway),CK107,328,,,,328,,388,8,University College Cork (NUI),,,,,,,,,,,
91,Languages,Arts International - 4 years,CK108,401,,,,401,,466,8,University College Cork (NUI),,,,,,,,,,,
92,Languages,English - 3 years or 4 years (International Pathway),CK109,318,,,,318,,441,8,University College Cork (NUI),,,,,,,,,,,
93,Languages,World Languages,CK110,452,,433,,410,,506,8,University College Cork (NUI),,,,,,,,,,,
94,Welfare,Early Years and Childhood Studies,CK111,419,,,,419,,451,8,University College Cork (NUI),,,,,,,,,,,
95,Arts,Theatre and Performative Practices - 3 or 4 years (Int`l Pathway),CK112,330,,,,330,,434,8,University College Cork (NUI),#,,,,,,,,,,
96,Social and behavioural sciences,Criminology - 3 years or 4 years (International Pathway),CK113,423,,,,423,,463,8,University College Cork (NUI),,,,,,,,,,,
97,Welfare,Social Science (Youth and Community Work) - 3 years,CK114,,,,,777,,,8,University College Cork (NUI),#,,,,,,,,,,
98,Welfare,Social Work - Mature Applicants only,CK115,,,,,999,,,8,University College Cork (NUI),,,,,,,,,,,
99,Arts,Digital Humanities and IT - 3 or 4 years (Work Exper. or Int`l Pathway),CK118,336,,,,336,,378,8,University College Cork (NUI),,,,,,,,,,,
100,Social and behavioural sciences,Applied Psychology,CK120,533,*,532,*,531,*,555,8,University College Cork (NUI),,,,,,,,,,,
101,Social and behavioural sciences,Psychology and Computing - 3 or 4 years (Work Experience Pathway),CK121,466,,,,466,,496,8,University College Cork (NUI),,,,,,,,,,,
102,Social and behavioural sciences,Government and Political Science,CK122,337,,328,,326,,403,8,University College Cork (NUI),,,,,,,,,,,
103,Humanities (except languages),Anthropology,CK123,308,,,,308,,410,8,University College Cork (NUI),,,,,,,,,,,
104,Education,Education - Gaeilge,CK124,463,,462,,452,*,495,8,University College Cork (NUI),,,,,,,,,,,
105,Education,Sports Studies and Physical Education,CK125,510,*,509,*,509,*,532,8,University College Cork (NUI),,,,,,,,,,,
106,Business and administration,Commerce,CK201,477,*,,,477,*,509,8,University College Cork (NUI),,,,,,,,,,,
107,Business and administration,Accounting,CK202,509,,,,509,,542,8,University College Cork (NUI),,,,,,,,,,,
108,Information and Communication Technologies (ICTs),Business Information Systems,CK203,430,,,,430,,467,8,University College Cork (NUI),,,,,,,,,,,
109,Business and administration,Finance,CK204,556,,,,556,,590,8,University College Cork (NUI),,,,,,,,,,,
110,Business and administration,Commerce (International) with French,CK205,445,,,,445,,495,8,University College Cork (NUI),,,,,,,,,,,
111,Business and administration,Commerce (International) with German,CK206,420,,418,,418,,476,8,University College Cork (NUI),,,,,,,,,,,
112,Business and administration,Commerce (International) with Italian,CK207,388,,,,388,,455,8,University College Cork (NUI),,,,,,,,,,,
113,Business and administration,Commerce (International) with Hispanic Studies,CK208,402,,,,402,,484,8,University College Cork (NUI),,,,,,,,,,,
114,Business and administration,Commerce (International) with Irish,CK209,484,,,,484,,531,8,University College Cork (NUI),,,,,,,,,,,
115,Business and administration,Commerce (International) with Chinese Studies,CK211,397,,,,397,,433,8,University College Cork (NUI),,,,,,,,,,,
116,Social and behavioural sciences,Economics (through Transformational Learning) 3 or 4 years Int`l Pathway,CK212,444,,,,444,,473,8,University College Cork (NUI),,,,,,,,,,,
117,Business and administration,Food Marketing and Entrepreneurship,CK213,462,,,,462,,476,8,University College Cork (NUI),,,,,,,,,,,
118,Social and behavioural sciences,International Development,CK214,346,,,,346,,422,8,University College Cork (NUI),,,,,,,,,,,
119,Law,Law (Pathways) -  3 or 4 years,CK301,507,,499,,498,*,531,8,University College Cork (NUI),,,,,,,,,,,
120,Law,Law and French,CK302,542,,,,542,,576,8,University College Cork (NUI),,,,,,,,,,,
121,Law,Law and Irish,CK304,540,,,,540,,565,8,University College Cork (NUI),,,,,,,,,,,
122,Law,Law and Business,CK307,556,,,,556,,589,8,University College Cork (NUI),,,,,,,,,,,
123,Information and Communication Technologies (ICTs),Computer Science,CK401,468,,,,468,,509,8,University College Cork (NUI),,,,,,,,,,,
124,Biological and related sciences,Biological and Chemical Sciences,CK402,510,*,509,*,509,,532,8,University College Cork (NUI),,,,,,,,,,,
125,Biological and related sciences,"Biological, Earth and Environmental Sciences",CK404,467,,,,465,,498,8,University College Cork (NUI),,,,,,,,,,,
126,Biological and related sciences,Genetics,CK405,487,,,,487,,498,8,University College Cork (NUI),,,,,,,,,,,
127,Physical sciences,Chemical Sciences,CK406,485,,472,,462,,494,8,University College Cork (NUI),,,,,,,,,,,
128,Mathematics and statistics,Mathematical Sciences,CK407,566,,565,*,565,,601,8,University College Cork (NUI),,,,,,,,,,,
129,Physical sciences,Physics and Astrophysics,CK408,554,,542,,531,*,589,8,University College Cork (NUI),,,,,,,,,,,
130,Physical sciences,Industrial Physics - Offered jointly by UCC and CIT,CK409,432,,,,432,,499,8,University College Cork (NUI),,,,,,,,,,,
131,Information and Communication Technologies (ICTs),Data Science and Analytics,CK411,510,,,,509,,554,8,University College Cork (NUI),,,,,,,,,,,
132,Agriculture,Agricultural Science,CK412,496,*,496,*,489,*,510,8,University College Cork (NUI),,,,,,,,,,,
133,Biological and related sciences,Nutritional Sciences,CK504,518,,,,517,*,554,8,University College Cork (NUI),,,,,,,,,,,
134,Manufacturing and processing,Food Science,CK505,441,,440,*,420,,465,8,University College Cork (NUI),,,,,,,,,,,
135,Engineering and engineering trades,Engineering,CK600,487,,,,487,,532,8,University College Cork (NUI),,,,,,,,,,,
136,Architecture and construction,Architecture - Offered jointly by UCC and CIT,CK606,484,,476,,469,,510,8,University College Cork (NUI),,,,,,,,,,,
137,Health,Medicine (Undergraduate Entry - HPAT required),CK701,731,,,,731,,739,8,University College Cork (NUI),#,,,,,,,,,,
138,Health,Dentistry,CK702,613,*,613,*,613,*,613,8,University College Cork (NUI),,,,,,,,,,,
139,Health,Pharmacy,CK703,590,,589,*,589,*,602,8,University College Cork (NUI),,,,,,,,,,,
140,Health,Occupational Therapy,CK704,566,,555,*,555,*,577,8,University College Cork (NUI),,,,,,,,,,,
141,Health,Speech and Language Therapy,CK705,520,,,,520,,541,8,University College Cork (NUI),,,,,,,,,,,
142,Health,Public Health Sciences,CK706,454,,,,454,,477,8,University College Cork (NUI),,,,,,,,,,,
143,Health,Medical and Health Sciences,CK707,542,,541,,541,,555,8,University College Cork (NUI),,,,,,,,,,,
144,Health,General Nursing,CK710,454,*,,,454,*,477,8,University College Cork (NUI),,,,,,,,,,,
145,Health,Children`s and General Nursing (Integrated),CK712,533,,,,533,,553,8,University College Cork (NUI),,,,,,,,,,,
146,Health,Mental Health Nursing,CK720,423,,,,419,,440,8,University College Cork (NUI),,,,,,,,,,,
147,Health,Intellectual Disability Nursing,CK730,419,,411,,400,,433,8,University College Cork (NUI),,,,,,,,,,,
148,Health,Midwifery,CK740,484,,,,473,*,507,8,University College Cork (NUI),,,,,,,,,,,
149,Health,Medicine  - Graduate Entry (GAMSAT required),CK791,57,*,,,57,*,58,8,University College Cork (NUI),#,,,,,,,,,,
150,Education,Education - Primary Teaching,CM001,484,*,,,484,*,487,8,Marino Institute of Education,,,,,,,,,,,
151,Education,Education - Primary Teaching - Gaeltacht Applicants,CM002,,,,,,,,8,Marino Institute of Education,#,,,,,,,,,,
152,Education,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge – Gaeltacht,CM003,528,,,,528,,570,8,Marino Institute of Education,#,,,,,,,,,,
153,Education,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge – Gaeltacht,CM004,494,,,,494,,513,8,Marino Institute of Education,#,,,,,,,,,,
154,Education,Education Studies,CM010,319,,,,317,,407,8,Marino Institute of Education,,avp,,,,,,,,,
155,Education,Early Childhood Education,CM020,327,,,,327,,390,8,Marino Institute of Education,,,,,,,,,,,
156,Physical sciences,Applied Physics and Instrumentation,CR001,250,,,,250,,487,7,Cork Institute of Technology,,,,,,,,,,,
157,Biological and related sciences,Applied Biosciences,CR006,361,,,,361,,489,7,Cork Institute of Technology,,,,,,,,,,,
158,Physical sciences,Analytical and Pharmaceutical Chemistry,CR007,240,,,,240,,487,7,Cork Institute of Technology,,,,,,,,,,,
159,Agriculture,Agriculture (Year 1 - 2 days in Clonakilty Agri College & 3 days in CIT),CR010,321,,,,321,,422,7,Cork Institute of Technology,,,,,,,,,,,
160,Information and Communication Technologies (ICTs),Software Development,CR016,307,,,,307,,413,7,Cork Institute of Technology,,,,,,,,,,,
161,Business and administration,Business (Common Entry),CR021,255,,,,255,,433,7,Cork Institute of Technology,,,,,,,,,,,
162,Business and administration,Business Administration,CR022,190,,,,190,,336,7,Cork Institute of Technology,,,,,,,,,,,
163,Welfare,Social Care Work,CR031,346,,,,346,,411,7,Cork Institute of Technology,,,,,,,,,,,
164,Personal services,Recreation and Leisure Management,CR032,298,,,,298,,378,7,Cork Institute of Technology,,,,,,,,,,,
165,Welfare,Community Development,CR035,100,,,,100,,251,7,Cork Institute of Technology,,,,,,,,,,,
166,Personal services,Tourism Management,CR041,216,,,,216,,399,7,Cork Institute of Technology,,,,,,,,,,,
167,Personal services,Hospitality Management,CR042,208,,,,208,,316,7,Cork Institute of Technology,,,,,,,,,,,
168,Transport services,Automotive Technology and Management,CR046,216,,,,216,,337,7,Cork Institute of Technology,,,,,,,,,,,
169,Architecture and construction,Civil Engineering,CR051,248,,,,248,,451,7,Cork Institute of Technology,,,,,,,,,,,
170,Architecture and construction,Construction,CR052,251,,,,251,,367,7,Cork Institute of Technology,,,,,,,,,,,
171,Arts,Interior Architecture,CR053,308,,,,308,,434,7,Cork Institute of Technology,,,,,,,,,,,
172,Engineering and engineering trades,Environmental Engineering,CR055,258,,,,258,,409,7,Cork Institute of Technology,,,,,,,,,,,
173,Engineering and engineering trades,Electronic Engineering,CR061,260,,,,260,,444,7,Cork Institute of Technology,,,,,,,,,,,
174,Engineering and engineering trades,Electrical Engineering,CR062,300,,,,300,,401,7,Cork Institute of Technology,,,,,,,,,,,
175,Engineering and engineering trades,Mechanical Engineering,CR071,261,,,,261,,444,7,Cork Institute of Technology,,,,,,,,,,,
176,Health,Biomedical Engineering,CR075,306,,,,306,,498,7,Cork Institute of Technology,,,,,,,,,,,
177,Architecture and construction,Architectural Technology,CR090,266,,,,266,,411,7,Cork Institute of Technology,,,,,,,,,,,
178,Transport services,Nautical Science at National Maritime College of Ireland,CR094,243,,,,243,,380,7,Cork Institute of Technology,,,,,,,,,,,
179,Engineering and engineering trades,Marine Engineering at National Maritime College of Ireland,CR095,255,,,,255,,389,7,Cork Institute of Technology,,,,,,,,,,,
180,Engineering and engineering trades,Chemical and Biopharmaceutical Engineering,CR105,443,,,,443,,532,8,Cork Institute of Technology,,,,,,,,,,,
181,Information and Communication Technologies (ICTs),Software Development,CR106,411,,,,411,,463,8,Cork Institute of Technology,,,,,,,,,,,
182,Engineering and engineering trades,Mechanical Engineering,CR108,434,,,,434,,509,8,Cork Institute of Technology,,,,,,,,,,,
183,Architecture and construction,Structural Engineering,CR109,394,,,,394,,423,8,Cork Institute of Technology,,,,,,,,,,,
184,Transport services,Automotive Business Management and Technology,CR110,311,,,,311,,362,8,Cork Institute of Technology,,,,,,,,,,,
185,Arts,Creative Digital Media,CR112,361,,,,361,,430,8,Cork Institute of Technology,,,,,,,,,,,
186,Information and Communication Technologies (ICTs),Computer Systems,CR116,332,,,,332,,393,8,Cork Institute of Technology,,,,,,,,,,,
187,Arts,Music at CIT Cork School of Music,CR121,868,,,,912,,1078,8,Cork Institute of Technology,#,,,,,,,,,,
188,Arts,Popular Music: Electric Bass Guitar at CIT Cork School of Music,CR125,1088,,,,1088,,1088,8,Cork Institute of Technology,#,,,,,,,,,,
189,Arts,Popular Music: Drums at CIT Cork School of Music,CR126,801,,,,801,,940,8,Cork Institute of Technology,#,,,,,,,,,,
190,Arts,Popular Music: Electric Guitar at CIT Cork School of Music,CR127,838,,768,,768,,978,8,Cork Institute of Technology,#,,,,,,,,,,
191,Arts,Popular Music: Keyboards at CIT Cork School of Music,CR128,840,,,,840,,881,8,Cork Institute of Technology,#,,,,,,,,,,
192,Arts,Popular Music: Voice at CIT Cork School of Music,CR129,841,,,,841,,966,8,Cork Institute of Technology,#,,,,,,,,,,
193,Arts,Musical Theatre at CIT Cork School of Music,CR130,548,,518,,505,,600,8,Cork Institute of Technology,#,,,,,,,,,,
194,Business and administration,Business Information Systems,CR150,335,,,,335,,391,8,Cork Institute of Technology,,,,,,,,,,,
195,Arts,"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",CR210,#+matric,,,,#+matric,,#+matric,8,Cork Institute of Technology,#,,,,,,,,,,
196,Arts,Fine Art at CIT Crawford College of Art and Design,CR220,#+matric,,,,#+matric,,#+matric,8,Cork Institute of Technology,#,,,,,,,,,,
197,Arts,Photography with New Media,CR225,#+matric,,,,#+matric,,#+matric,8,Cork Institute of Technology,#,,,,,,,,,,
198,Physical sciences,Physical Sciences (Common Entry),CR300,282,,,,282,,476,7,Cork Institute of Technology,,,,,,,,,,,
199,Physical sciences,Physical Sciences (Common Entry),CR305,282,,,,282,,356,8,Cork Institute of Technology,,,,,,,,,,,
200,Information and Communication Technologies (ICTs),IT Management,CR310,297,,,,297,,339,8,Cork Institute of Technology,,,,,,,,,,,
201,Biological and related sciences,Biomedical Science - Offered jointly by CIT and UCC,CR320,565,,,,565,,577,8,Cork Institute of Technology,,,,,,,,,,,
202,Biological and related sciences,Pharmaceutical Biotechnology,CR325,398,,,,398,,440,8,Cork Institute of Technology,,,,,,,,,,,
203,Health,Nutrition and Health Science,CR333,402,,,,402,,433,8,Cork Institute of Technology,,,,,,,,,,,
204,Biological and related sciences,Biological Sciences (Common Entry),CR335,420,,,,420,,451,8,Cork Institute of Technology,,,,,,,,,,,
205,Physical sciences,Analytical Chemistry with Quality Assurance,CR340,251,,,,251,,366,8,Cork Institute of Technology,,,,,,,,,,,
206,Physical sciences,Instrument Engineering,CR360,261,,,,261,,388,8,Cork Institute of Technology,,,,,,,,,,,
207,Environment,Environmental Science and Sustainable Technology,CR365,253,,,,253,,341,8,Cork Institute of Technology,,,,,,,,,,,
208,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",Agri-Biosciences,CR370,397,,,,397,,453,8,Cork Institute of Technology,,,,,,,,,,,
209,Business and administration,Accounting,CR400,316,,,,316,,413,8,Cork Institute of Technology,,,,,,,,,,,
210,Business and administration,Marketing,CR420,285,,,,285,,346,8,Cork Institute of Technology,,,,,,,,,,,
211,Business and administration,International Business with Language,CR425,298,,,,298,,412,8,Cork Institute of Technology,,,,,,,,,,,
212,Personal services,Sport and Exercise Management,CR430,322,,,,322,,407,8,Cork Institute of Technology,,,,,,,,,,,
213,Education,Montessori Education,CR440,288,,,,288,,362,8,Cork Institute of Technology,,,,,,,,,,,
214,Engineering and engineering trades,Engineering (Common Entry),CR500,411,,,,411,,465,8,Cork Institute of Technology,,,,,,,,,,,
215,Environment,Sustainable Energy Engineering,CR510,320,,,,320,,389,8,Cork Institute of Technology,,,,,,,,,,,
216,Health,Biomedical Engineering,CR520,444,,,,444,,488,8,Cork Institute of Technology,,,,,,,,,,,
217,Architecture and construction,Architectural Technology,CR560,308,,,,308,,377,8,Cork Institute of Technology,,,,,,,,,,,
218,Architecture and construction,Interior Architecture,CR565,359,,,,359,,423,8,Cork Institute of Technology,,,,,,,,,,,
219,Architecture and construction,Quantity Surveying,CR570,336,,,,336,,392,8,Cork Institute of Technology,,,,,,,,,,,
220,Architecture and construction,Construction Management,CR572,269,,,,269,,318,8,Cork Institute of Technology,,,,,,,,,,,
221,Engineering and engineering trades,Electrical Engineering,CR580,318,,,,318,,377,8,Cork Institute of Technology,,,,,,,,,,,
222,Engineering and engineering trades,Electronic Engineering,CR590,303,,,,303,,379,8,Cork Institute of Technology,,,,,,,,,,,
223,Arts,Visual Communications,CR600,#+matric,,,,#+matric,,#+matric,8,Cork Institute of Technology,#,,,,,,,,,,
224,Welfare,Early Childhood Education and Care,CR620,365,,357,,357,,454,7,Cork Institute of Technology,,,,,,,,,,,
